        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
       37875.8 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
     ng2/nadm: &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                  -1 &                                 -1 &                                    -1 &                                   -1 &                                     -1 &                                     -1 &                                -1 &                                     -1 &                                      -1 &                                    -1 &                                    -1 &                                     -1 &                                -1 &                                    -1 &                                     -1 &                                     -1 &                                     -1 &                                      -1 &                                     -1 &                                     -1 &                                     -1
             0 &                                  0.189 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                  0.299 &                                0.00423 &                                  0.171 &                                   0.27 &                               0.166 &                              0.266 &                                 0.147 &                                0.195 &                                   0.39 &                                  0.384 &                             0.186 &                                  0.244 &                                    0.33 &                                 0.324 &                                 0.278 &                                  0.288 &                             0.186 &                                   Inf &                                  0.398 &                                  0.146 &                                  0.131 &                                   0.406 &                                  0.166 &                                  0.145 &                                  0.193
           0.5 &                                  0.189 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                  0.299 &                                0.00423 &                                  0.171 &                                   0.27 &                               0.166 &                              0.266 &                                 0.147 &                                0.195 &                                   0.39 &                                  0.384 &                             0.186 &                                  0.244 &                                    0.33 &                                 0.324 &                                 0.278 &                                  0.288 &                             0.186 &                                   Inf &                                  0.398 &                                  0.146 &                                  0.131 &                                   0.406 &                                  0.166 &                                  0.145 &                                  0.193
          1.25 &                                  0.189 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                  0.299 &                                0.00423 &                                  0.116 &                                   0.27 &                               0.166 &                              0.266 &                                 0.147 &                                0.195 &                                   0.39 &                                  0.384 &                             0.186 &                                  0.244 &                                    0.33 &                                 0.324 &                                 0.278 &                                  0.288 &                             0.186 &                                   Inf &                                  0.398 &                                  0.146 &                                  0.131 &                                   0.406 &                                  0.166 &                                  0.145 &                                  0.193
         2.375 &                                  0.166 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                   0.23 &                                0.00423 &                                  0.103 &                                   0.27 &                               0.166 &                              0.266 &                                  0.13 &                                0.195 &                                   0.39 &                                  0.384 &                             0.186 &                                  0.232 &                                    0.33 &                                 0.284 &                                 0.254 &                                  0.273 &                             0.186 &                                 0.447 &                                  0.374 &                                  0.141 &                                 0.0912 &                                   0.381 &                                  0.159 &                                  0.145 &                                  0.166
        4.0625 &                                  0.143 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                  0.169 &                                0.00423 &                                 0.0477 &                                   0.27 &                               0.152 &                              0.259 &                                  0.13 &                                0.168 &                                   0.39 &                                  0.384 &                             0.186 &                                  0.214 &                                    0.33 &                                 0.258 &                                   0.2 &                                  0.201 &                             0.186 &                                 0.424 &                                  0.248 &                                   0.13 &                                 0.0775 &                                    0.35 &                                  0.132 &                                  0.116 &                                  0.128
       6.59375 &                                  0.124 &                                  0.022 &                                 0.0236 &                                0.00558 &                                 0.0953 &                                  0.131 &                                0.00423 &                                 0.0429 &                                  0.246 &                               0.138 &                              0.252 &                                  0.13 &                                0.121 &                                  0.279 &                                  0.384 &                             0.167 &                                  0.191 &                                    0.33 &                                 0.219 &                                 0.141 &                                  0.191 &                             0.185 &                                 0.396 &                                  0.225 &                                  0.112 &                                 0.0775 &                                   0.314 &                                   0.11 &                                  0.112 &                                  0.124
       10.3906 &                                 0.0874 &                                 0.0168 &                                 0.0236 &                                0.00558 &                                 0.0916 &                                  0.119 &                                0.00423 &                                 0.0381 &                                  0.198 &                                0.13 &                              0.206 &                                 0.121 &                                0.117 &                                   0.27 &                                  0.384 &                             0.139 &                                  0.151 &                                    0.33 &                                  0.19 &                                 0.106 &                                  0.134 &                             0.185 &                                 0.336 &                                  0.173 &                                 0.0758 &                                 0.0724 &                                   0.214 &                                 0.0878 &                                  0.082 &                                 0.0874
       16.0859 &                                 0.0707 &                                0.00295 &                                 0.0236 &                                0.00558 &                                 0.0799 &                                  0.105 &                                0.00423 &                                 0.0381 &                                  0.178 &                               0.102 &                              0.206 &                                0.0835 &                                0.107 &                                  0.238 &                                   0.36 &                             0.125 &                                  0.121 &                                   0.266 &                                 0.112 &                                0.0845 &                                  0.082 &                             0.167 &                                 0.319 &                                  0.122 &                                 0.0554 &                                  0.058 &                                   0.171 &                                 0.0649 &                                 0.0715 &                                 0.0707
       24.6289 &                                 0.0444 &                                0.00295 &                                  0.019 &                                0.00558 &                                 0.0666 &                                 0.0994 &                                0.00423 &                                 0.0381 &                                  0.132 &                              0.0934 &                              0.171 &                                0.0542 &                               0.0734 &                                  0.214 &                                  0.314 &                             0.115 &                                 0.0841 &                                   0.263 &                                0.0772 &                                0.0792 &                                 0.0486 &                             0.167 &                                 0.216 &                                  0.116 &                                 0.0456 &                                  0.031 &                                    0.13 &                                 0.0424 &                                 0.0649 &                                 0.0545
       37.4434 &                                 0.0314 &                                0.00295 &                                0.00915 &                                0.00558 &                                 0.0532 &                                 0.0944 &                                      0 &                                 0.0381 &                                 0.0763 &                               0.081 &                              0.107 &                                0.0222 &                               0.0567 &                                  0.184 &                                  0.244 &                            0.0845 &                                 0.0627 &                                   0.192 &                                 0.073 &                                0.0776 &                                 0.0349 &                             0.163 &                                 0.168 &                                  0.101 &                                 0.0342 &                                 0.0243 &                                   0.122 &                                 0.0313 &                                 0.0386 &                                 0.0387
        56.665 &                                 0.0256 &                                0.00295 &                                0.00915 &                                0.00558 &                                 0.0294 &                                 0.0944 &                                      0 &                                 0.0381 &                                 0.0648 &                              0.0572 &                              0.101 &                                0.0222 &                                0.053 &                                  0.162 &                                  0.167 &                            0.0845 &                                  0.056 &                                   0.154 &                                0.0649 &                                0.0525 &                                 0.0197 &                             0.163 &                                  0.12 &                                 0.0858 &                                 0.0342 &                                 0.0243 &                                   0.107 &                                 0.0206 &                                 0.0206 &                                 0.0314
       85.4976 &                                 0.0175 &                                0.00295 &                                0.00354 &                                0.00558 &                                 0.0164 &                                 0.0892 &                                      0 &                                 0.0168 &                                 0.0516 &                              0.0408 &                             0.0925 &                                0.0131 &                               0.0373 &                                  0.162 &                                  0.143 &                            0.0726 &                                  0.052 &                                   0.102 &                                0.0542 &                                0.0448 &                                 0.0152 &                             0.148 &                                0.0943 &                                 0.0744 &                                 0.0289 &                                 0.0243 &                                  0.0769 &                                 0.0125 &                                 0.0125 &                                 0.0233
       128.746 &                                 0.0125 &                                0.00295 &                                0.00354 &                                0.00558 &                                0.00542 &                                 0.0892 &                                      0 &                                 0.0168 &                                 0.0312 &                              0.0296 &                             0.0716 &                                0.0131 &                               0.0243 &                                  0.131 &                                  0.115 &                            0.0662 &                                 0.0427 &                                    0.09 &                                0.0469 &                                0.0365 &                                0.00661 &                             0.123 &                                0.0943 &                                 0.0744 &                                  0.024 &                                 0.0243 &                                   0.071 &                                 0.0125 &                                 0.0125 &                                 0.0125
        193.62 &                                 0.0125 &                                0.00295 &                                0.00354 &                                      0 &                                0.00542 &                                 0.0892 &                                      0 &                                 0.0168 &                                 0.0272 &                              0.0296 &                             0.0616 &                                0.0131 &                               0.0235 &                                 0.0963 &                                 0.0898 &                            0.0532 &                                 0.0367 &                                  0.0825 &                                 0.044 &                                0.0316 &                                0.00661 &                            0.0816 &                                0.0549 &                                 0.0743 &                                0.00833 &                                 0.0102 &                                  0.0542 &                                 0.0125 &                                 0.0125 &                                 0.0125
       290.929 &                                 0.0125 &                                      0 &                                0.00354 &                                      0 &                                0.00542 &                                 0.0892 &                                      0 &                                 0.0168 &                                 0.0236 &                               0.024 &                              0.044 &                                0.0131 &                               0.0235 &                                 0.0921 &                                 0.0716 &                            0.0483 &                                 0.0342 &                                  0.0731 &                                0.0389 &                                0.0258 &                                0.00661 &                            0.0585 &                                0.0549 &                                 0.0661 &                                      0 &                                 0.0102 &                                  0.0385 &                                 0.0125 &                                 0.0125 &                                 0.0125
       436.894 &                                 0.0125 &                                      0 &                                      0 &                                      0 &                                0.00542 &                                 0.0401 &                                      0 &                                 0.0168 &                                 0.0236 &                              0.0157 &                             0.0397 &                                0.0131 &                               0.0228 &                                 0.0773 &                                 0.0606 &                             0.036 &                                 0.0288 &                                  0.0596 &                                0.0243 &                                0.0249 &                                0.00661 &                             0.054 &                                0.0549 &                                 0.0652 &                                      0 &                                 0.0102 &                                  0.0353 &                                 0.0125 &                                 0.0125 &                                 0.0125
       655.841 &                                 0.0125 &                                      0 &                                      0 &                                      0 &                                0.00542 &                                 0.0401 &                                      0 &                                 0.0168 &                                0.00909 &                              0.0104 &                             0.0337 &                                0.0131 &                               0.0205 &                                 0.0648 &                                 0.0606 &                             0.036 &                                 0.0219 &                                  0.0557 &                                0.0208 &                                0.0198 &                                      0 &                             0.049 &                                0.0541 &                                 0.0652 &                                      0 &                                 0.0102 &                                  0.0353 &                                 0.0125 &                                 0.0125 &                                 0.0125
       984.261 &                                 0.0125 &                                      0 &                                      0 &                                      0 &                                0.00542 &                                 0.0401 &                                      0 &                                 0.0168 &                                0.00909 &                              0.0104 &                             0.0337 &                                0.0131 &                               0.0163 &                                 0.0642 &                                 0.0542 &                            0.0225 &                                  0.019 &                                  0.0557 &                                0.0185 &                                0.0184 &                                      0 &                             0.049 &                                0.0345 &                                 0.0652 &                                      0 &                                 0.0102 &                                  0.0268 &                                 0.0125 &                                 0.0125 &                                 0.0125
       1476.89 &                                 0.0125 &                                      0 &                                      0 &                                      0 &                                      0 &                                0.00682 &                                      0 &                                 0.0168 &                                0.00909 &                              0.0104 &                             0.0336 &                               0.00925 &                               0.0124 &                                 0.0575 &                                 0.0484 &                            0.0172 &                                 0.0167 &                                  0.0557 &                                0.0167 &                                0.0164 &                                      0 &                             0.049 &                                0.0344 &                                  0.048 &                                      0 &                                 0.0102 &                                  0.0229 &                                 0.0125 &                                 0.0125 &                                 0.0125
       2215.84 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                            0.0283 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                            0.0234 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
